Область,Ріе,Мінімальний бал з математики
Івано-Франківська область,2019,"100,0"
Волинська область,2019,"104,0"
Вінницька область,2019,"104,0"
Дніпропетровська область,2019,"100,0"
Донецька область,2019,"100,0"
Житомирська область,2019,"114,0"
Закарпатська область,2019,"122,0"
Запорізька область,2019,"107,0"
Київська область,2019,"104,0"
Кіровоградська область,2019,"110,0"
Луганська область,2019,"104,0"
Львівська область,2019,"107,0"
Миколаївська область,2019,"114,0"
Одеська область,2019,"100,0"
Полтавська область,2019,"100,0"
Рівненська область,2019,"104,0"
Сумська область,2019,"104,0"
Тернопільська область,2019,"104,0"
Харківська область,2019,"100,0"
Херсонська область,2019,"107,0"
Хмельницька область,2019,"107,0"
Черкаська область,2019,"117,0"
Чернівецька область,2019,"100,0"
Чернігівська область,2019,"110,0"
м.Київ,2019,"104,0"
Волинська область,2020,"162,0"
Вінницька область,2020,"100,0"
Дніпропетровська область,2020,"100,0"
Донецька область,2020,"100,0"
Житомирська область,2020,"110,0"
Закарпатська область,2020,"141,0"
Запорізька область,2020,"107,0"
Київська область,2020,"100,0"
Луганська область,2020,"107,0"
Львівська область,2020,"110,0"
Миколаївська область,2020,"100,0"
Одеська область,2020,"107,0"
Полтавська область,2020,"100,0"
Рівненська область,2020,"117,0"
Сумська область,2020,"107,0"
Тернопільська область,2020,"182,0"
Харківська область,2020,"100,0"
Херсонська область,2020,"121,0"
Хмельницька область,2020,"110,0"
Черкаська область,2020,"107,0"
Чернівецька область,2020,"129,0"
Чернігівська область,2020,"100,0"
м.Київ,2020,"100,0"
